Location,Date,Time,Vehicle_Count,Traffic_Density,Average_Speed,Road_Type,Weather,Accident_Reported,Signal_Status
Sector 43,2025-01-01,00:00:00,765,High,23,Highway,Cloudy,Yes,Red
IT Park,2025-01-01,01:00:00,800,Medium,69,Main Road,Foggy,Yes,Green
Sector 35,2025-01-01,02:00:00,234,High,32,Main Road,Cloudy,No,Yellow
IT Park,2025-01-01,03:00:00,1945,Medium,38,Main Road,Rainy,No,Green
IT Park,2025-01-01,04:00:00,341,High,56,Street,Foggy,No,Red
Sector 22,2025-01-01,05:00:00,1408,Low,39,Street,Cloudy,No,Yellow
Sector 35,2025-01-01,06:00:00,781,High,47,Highway,Sunny,No,Red
Sector 35,2025-01-01,07:00:00,165,High,36,Main Road,Cloudy,No,Red
Sector 35,2025-01-01,08:00:00,874,Medium,24,Highway,Foggy,No,Yellow
IT Park,2025-01-01,09:00:00,1122,High,68,Highway,Sunny,No,Yellow
Sector 43,2025-01-01,10:00:00,734,Low,12,Street,Rainy,No,Green
Sector 35,2025-01-01,11:00:00,131,Low,19,Main Road,Rainy,No,Red
Industrial Area,2025-01-01,12:00:00,883,High,26,Main Road,Cloudy,No,Yellow
IT Park,2025-01-01,13:00:00,382,High,20,Highway,Rainy,No,Red
Sector 22,2025-01-01,14:00:00,606,Low,57,Main Road,Cloudy,No,Yellow
Sector 43,2025-01-01,15:00:00,384,Medium,14,Street,Cloudy,No,Red
Industrial Area,2025-01-01,16:00:00,581,Low,78,Highway,Cloudy,No,Green
Industrial Area,2025-01-01,17:00:00,270,Low,73,Highway,Cloudy,No,Red
Sector 22,2025-01-01,18:00:00,684,High,23,Street,Foggy,No,Yellow
Sector 43,2025-01-01,19:00:00,1819,High,59,Street,Foggy,No,Green
IT Park,2025-01-01,20:00:00,1806,Low,35,Street,Sunny,No,Green
Sector 17,2025-01-01,21:00:00,372,Medium,78,Street,Sunny,No,Yellow
Sector 43,2025-01-01,22:00:00,1924,Low,16,Street,Rainy,No,Green
Sector 22,2025-01-01,23:00:00,52,Low,25,Street,Foggy,No,Red
Industrial Area,2025-01-02,00:00:00,1767,Medium,64,Highway,Sunny,No,Red
IT Park,2025-01-02,01:00:00,255,Low,65,Main Road,Foggy,No,Yellow
Sector 43,2025-01-02,02:00:00,1905,Low,13,Main Road,Foggy,No,Red
Sector 17,2025-01-02,03:00:00,89,High,57,Highway,Rainy,No,Yellow
Sector 17,2025-01-02,04:00:00,108,Medium,26,Main Road,Rainy,No,Green
Sector 35,2025-01-02,05:00:00,1000,High,45,Main Road,Cloudy,No,Red
Sector 35,2025-01-02,06:00:00,623,High,79,Highway,Foggy,No,Yellow
Sector 22,2025-01-02,07:00:00,693,Medium,47,Main Road,Cloudy,No,Red
